customer_Dependents,internet_InternetService_DSL,internet_StreamingTV,internet_InternetService_Fiber optic,customer_tenure,account_PaperlessBilling,customer_SeniorCitizen,account_Contract_Two year,internet_OnlineSecurity,internet_StreamingMovies,internet_DeviceProtection,account_PaymentMethod_Electronic check,account_Contract_One year,account_Contract_Month-to-month,internet_InternetService_0,internet_OnlineBackup,account_Charges_Monthly,account_Charges_Monthly_Average,internet_TechSupport,Churn
0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,19.85,21.25,0,1
0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,1,90.35,95.25,0,0
0,0,0,1,27,1,1,0,0,0,1,0,0,1,0,1,86.45,88.92777777777779,0,0
0,0,0,0,26,1,0,0,0,0,0,1,0,1,1,0,20.3,19.66346153846154,0,0
0,0,1,1,39,1,1,0,0,1,0,1,0,1,0,0,101.25,101.26025641025642,1,0
0,0,1,1,25,1,0,0,0,1,0,0,0,1,0,0,94.7,94.484,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,70.9,70.9,0,1
0,1,0,0,22,1,0,0,1,0,0,1,0,1,0,0,54.2,52.39545454545455,1,1
0,0,1,1,72,1,0,1,1,1,1,1,0,0,0,1,114.9,118.00972222222224,1,0
0,0,0,0,24,1,0,1,0,0,0,0,0,0,1,0,19.55,19.591666666666665,0,0
0,0,1,1,19,1,0,0,0,0,0,1,0,1,0,0,86.85,82.33684210526316,0,0
1,0,0,0,71,0,0,1,0,0,0,0,0,0,1,0,25.35,26.021830985915493,0,0
0,0,1,1,33,1,1,0,1,1,1,0,0,1,0,0,109.9,111.96060606060605,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,19.95,19.333333333333332,0,0
1,0,1,1,47,0,0,0,0,0,0,1,0,1,0,1,87.2,85.47765957446808,0,0
1,0,1,1,62,0,0,1,1,1,1,0,0,0,0,1,108.15,110.09112903225805,1,0
0,0,1,1,71,1,0,0,1,1,1,0,1,0,0,1,116.3,117.03591549295774,1,0
0,0,1,1,7,1,1,0,0,1,0,1,0,1,0,0,89.0,86.49285714285715,0,0
1,0,0,1,27,0,0,0,1,0,0,0,0,1,0,0,74.4,73.05,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,20.05,16.85,0,0
1,1,0,0,25,0,0,1,1,0,0,0,0,0,0,0,35.05,33.778,1,0
0,1,1,0,30,1,1,0,1,1,0,1,0,1,0,1,74.75,70.37666666666668,0,0
0,0,1,1,58,1,1,0,1,1,0,0,1,0,0,1,105.5,106.99137931034483,1,1
0,0,0,1,10,1,0,0,0,1,0,1,0,1,0,0,85.25,85.53,0,1
0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,0,75.2,70.42777777777778,0,0
0,0,0,1,6,1,1,0,0,1,0,1,0,1,0,0,84.35,79.14999999999999,0,1
1,0,0,1,69,0,0,0,1,0,1,0,1,0,0,0,84.45,84.76231884057971,0,0
0,0,1,1,66,1,1,1,1,1,0,0,0,0,0,0,102.4,98.05833333333334,0,0
0,0,1,1,70,0,0,0,1,1,1,0,1,0,0,1,115.55,116.10857142857144,1,1
0,0,0,0,25,0,0,0,0,0,0,0,1,0,1,0,25.3,27.054000000000002,0,1
1,0,0,0,46,1,0,1,0,0,0,0,0,0,1,0,19.25,18.786956521739132,0,0
0,0,1,1,54,1,0,0,1,1,1,0,1,0,0,1,114.65,112.02777777777777,1,0
0,0,1,1,15,0,0,0,1,1,1,1,0,1,0,0,105.1,105.51666666666667,1,1
1,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,19.4,16.508333333333333,0,0
0,1,1,0,22,1,0,0,0,1,0,1,0,1,0,1,50.35,49.94772727272727,0,0
0,1,1,0,70,0,0,1,0,1,1,0,0,0,0,1,57.8,57.70428571428572,1,0
0,0,0,1,30,1,0,0,1,0,1,0,0,1,0,1,84.3,81.28666666666666,0,0
1,0,1,1,71,0,0,0,0,1,0,0,1,0,0,1,100.55,100.19366197183099,0,0
0,0,0,0,30,0,0,0,0,0,0,0,1,0,1,0,19.8,19.221666666666668,0,0
1,0,0,1,4,1,0,0,0,0,1,0,0,1,0,1,84.8,92.975,0,1
0,0,0,1,2,1,0,0,0,1,1,1,0,1,0,0,85.85,83.65,0,1
1,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,19.95,21.95,0,0
0,0,0,1,4,0,1,0,1,0,0,1,0,1,0,0,75.35,68.35,0,0
0,1,1,0,52,1,1,0,1,1,0,0,0,1,0,0,48.8,49.135576923076925,0,0
0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,47.15,44.63,0,1
1,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,20.15,20.6875,0,0
0,1,0,0,2,1,1,0,0,0,0,1,0,1,0,0,44.3,44.65,0,0
0,0,0,1,3,0,0,0,0,1,0,1,0,1,0,1,84.3,78.35000000000001,0,0
0,1,0,0,19,0,0,0,0,0,1,1,0,1,0,0,59.55,60.24210526315789,1,0
0,1,0,0,72,0,0,1,1,0,1,0,0,0,0,1,69.65,68.17013888888889,1,0
0,1,0,0,63,0,1,0,1,0,0,0,1,0,0,0,36.1,36.490476190476194,1,0
0,1,1,0,66,1,0,1,1,0,1,0,0,0,0,1,56.6,57.41212121212121,1,0
0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,75.9,75.9,1,1
0,0,0,1,60,1,0,0,0,0,1,0,1,0,0,0,79.2,79.41666666666667,0,0
1,1,0,0,48,0,0,0,1,1,1,0,1,0,0,0,45.0,45.75625,0,0
0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,85.55,85.55,0,1
0,0,1,1,15,1,0,0,0,1,0,1,0,1,0,0,93.35,96.31,0,1
0,0,1,1,50,1,0,0,1,1,0,0,0,1,0,1,109.65,108.116,1,0
1,1,1,0,72,0,0,1,1,1,1,0,0,0,0,1,89.7,88.04583333333333,1,0
0,0,0,1,46,0,0,0,1,0,0,0,0,1,0,1,84.25,83.64347826086956,0,0
1,1,1,0,72,0,0,1,1,1,1,0,0,0,0,1,92.65,93.51388888888889,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,19.7,19.7,0,0
0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,50.1,50.1,0,0
0,0,1,1,67,1,1,1,1,0,0,0,0,0,0,1,92.45,91.65447761194031,1,0
1,1,1,0,48,0,0,1,0,1,0,1,0,0,0,1,79.65,80.63125000000001,1,0
0,0,1,1,72,1,0,1,1,1,1,1,0,0,0,1,109.9,105.89166666666667,1,0
0,1,0,0,52,1,0,0,1,1,1,0,1,0,0,1,81.4,83.73942307692307,1,0
1,1,0,0,67,0,0,0,0,0,0,0,1,0,0,1,50.55,51.22014925373134,0,0
1,0,0,1,28,1,0,0,0,1,0,1,0,1,0,0,81.05,79.53928571428571,0,1
1,1,0,0,32,0,0,0,0,0,1,0,0,1,0,1,62.45,63.9234375,0,0
0,0,0,1,27,1,1,0,1,0,0,0,0,1,0,0,75.2,71.4574074074074,0,1
0,0,0,1,3,0,0,0,0,1,1,1,0,1,0,1,90.4,89.48333333333333,0,0
0,0,1,1,2,1,0,0,0,0,0,1,0,1,0,0,85.65,90.75,0,1
1,1,1,0,9,1,0,0,0,1,1,0,0,1,0,0,72.9,72.37777777777778,1,1
1,1,1,0,50,1,0,1,1,0,0,0,0,0,0,0,70.5,69.733,1,0
1,0,0,0,71,0,0,1,0,0,0,0,0,0,1,0,20.1,19.57183098591549,0,0
0,0,0,1,32,1,1,0,0,0,0,1,0,1,0,0,74.9,71.9796875,0,1
1,0,1,1,16,0,0,0,1,1,1,0,0,1,0,0,100.7,95.16875,0,0
1,0,1,1,67,1,0,1,0,1,1,0,0,0,0,0,105.65,100.26716417910447,1,0
1,0,1,1,72,1,0,1,1,1,1,0,0,0,0,1,114.3,111.92430555555556,1,0
0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,19.75,19.616666666666667,0,1
1,0,0,0,23,0,0,0,0,0,0,0,1,0,1,0,24.35,23.41304347826087,0,0
1,1,0,0,72,0,0,1,1,0,1,0,0,0,0,1,69.85,70.86597222222223,1,0
1,1,1,0,7,0,0,0,1,1,1,0,0,1,0,1,58.85,66.52857142857142,0,0
1,1,1,0,8,1,0,0,0,0,0,1,0,1,0,0,54.4,59.3875,0,0
1,1,1,0,66,0,0,1,0,1,0,0,0,0,0,0,50.55,50.97803030303031,1,0
0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,21.05,22.77,0,1
0,0,1,1,49,1,0,0,0,1,1,0,0,1,0,1,103.7,102.78163265306122,0,1
0,0,0,0,63,1,0,1,0,0,0,0,0,0,1,0,19.95,19.599999999999998,0,0
1,1,0,0,12,1,1,0,0,0,0,0,0,1,0,0,29.3,29.65833333333333,1,0
1,1,0,0,27,1,0,0,1,0,0,0,0,1,0,1,54.75,55.93703703703704,0,0
0,1,0,0,35,0,0,0,1,0,1,1,0,1,0,1,60.55,56.645714285714284,0,0
1,1,1,0,54,1,0,0,0,1,1,1,0,1,0,1,86.2,83.77870370370371,1,0
0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,95.45,95.45,0,1
0,1,1,0,5,1,0,0,0,0,1,0,0,1,0,0,63.95,63.620000000000005,1,0
0,1,0,0,19,1,0,0,0,1,0,0,1,0,0,1,65.35,64.83421052631579,1,0
1,1,1,0,52,0,0,1,0,0,1,0,0,0,0,1,50.2,49.11538461538461,1,0
1,1,1,0,72,1,0,1,1,1,1,0,0,0,0,1,63.8,65.05972222222222,1,0
0,0,0,0,32,1,0,1,0,0,0,0,0,0,1,0,20.05,19.2015625,0,0
0,0,1,1,8,0,0,0,0,1,1,1,0,1,0,1,101.15,105.3625,0,1
0,1,0,0,41,0,0,0,0,1,1,0,1,0,0,0,65.0,61.75121951219513,0,0
0,0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,19.25,17.21,0,0
1,1,0,0,11,1,0,0,1,0,0,0,1,0,0,0,36.05,36.6,1,0
0,0,1,1,5,1,0,0,0,1,0,1,0,1,0,0,96.1,90.67999999999999,1,1
0,0,0,0,16,0,0,0,0,0,0,0,1,0,1,0,19.05,20.415625,0,0
0,0,1,1,71,0,1,0,0,1,0,0,1,0,0,1,105.75,103.98380281690142,1,0
0,1,0,0,11,1,0,0,0,0,1,0,1,0,0,1,40.4,38.41818181818182,1,0
1,0,1,1,61,1,0,0,0,1,0,1,0,1,0,1,99.15,98.52540983606558,0,1
0,1,1,0,71,1,0,0,1,1,1,0,1,0,0,1,84.8,85.15633802816902,1,0
0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,19.85,19.866666666666667,0,0
0,1,0,0,6,1,0,0,1,0,0,1,0,1,0,0,49.45,52.43333333333334,0,0
0,0,1,1,26,1,0,0,0,1,0,0,0,1,0,0,88.8,87.475,0,1
0,1,0,0,6,0,0,0,1,0,0,0,0,1,0,1,55.15,53.81666666666666,0,0
0,0,0,1,11,0,0,0,0,1,1,1,0,1,0,0,84.8,80.79545454545455,0,0
0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,80.55,80.55,0,1
0,0,0,0,49,1,0,1,0,0,0,0,0,0,1,0,20.15,19.864285714285714,0,0
1,1,1,0,3,1,0,0,0,0,0,0,0,1,0,1,58.7,56.199999999999996,0,0
0,0,0,1,53,0,0,1,1,1,1,0,0,0,0,1,99.5,102.34433962264151,1,0
1,0,1,1,23,1,0,0,1,1,0,1,0,1,0,0,99.85,101.3608695652174,1,1
0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,45.35,44.75,0,1
0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,48.55,48.55,0,1
1,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,26.4,40.416666666666664,0,0
0,0,1,1,68,1,1,0,0,1,0,1,0,1,0,1,100.2,100.7595588235294,0,1
0,0,1,1,8,1,0,0,0,1,1,1,0,1,0,0,94.7,92.5375,0,1
0,0,1,1,70,1,0,0,0,1,1,1,1,0,0,0,97.65,99.75,0,0
1,0,1,1,39,0,0,0,0,1,1,1,1,0,0,0,100.0,98.3474358974359,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,70.1,70.1,0,1
0,0,1,1,3,1,0,0,0,1,0,1,0,1,0,1,97.9,105.10000000000001,1,1
0,0,1,1,60,0,0,0,0,1,1,0,1,0,0,1,102.5,102.62666666666668,0,0
0,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,69.95,66.03,0,1
0,0,0,1,3,1,1,0,0,0,0,1,0,1,0,1,81.35,77.89999999999999,0,1
0,1,0,0,55,1,0,0,1,0,0,0,1,0,0,1,66.05,62.947272727272725,1,0
0,1,1,0,72,1,0,1,1,1,1,0,0,0,0,0,61.2,60.97569444444444,1,0
0,1,1,0,72,0,1,1,1,0,1,0,0,0,0,1,74.4,74.45486111111111,1,0
0,0,1,1,41,1,0,0,0,1,1,1,0,1,0,1,106.3,108.37682926829268,0,1
0,1,0,0,60,0,0,1,1,0,1,0,0,0,0,1,39.6,40.40833333333333,0,0
0,0,1,1,6,0,0,0,0,1,0,1,0,1,0,0,89.3,96.26666666666667,0,1
0,0,1,1,46,1,0,1,0,1,1,0,0,0,0,1,108.9,105.52826086956522,1,0
0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,19.9,21.363333333333333,0,0
0,0,1,1,58,1,0,0,0,1,1,0,0,1,0,0,102.1,101.47241379310344,1,1
1,0,0,0,23,0,0,1,0,0,0,0,0,0,1,0,19.6,18.55,0,0
1,0,1,1,31,1,1,0,0,1,1,1,0,1,0,0,98.9,93.91290322580646,1,1
0,1,0,0,11,1,0,0,0,0,0,0,0,1,0,0,45.9,47.445454545454545,0,0
0,0,1,1,56,1,1,1,0,0,1,0,0,0,0,1,99.9,101.89821428571429,1,0
1,0,0,0,25,0,0,0,0,0,0,0,0,1,1,0,20.05,18.868,0,0
0,1,1,0,68,0,0,1,1,1,1,0,0,0,0,1,64.35,66.75882352941177,1,0
0,0,0,0,40,0,0,1,0,0,0,0,0,0,1,0,19.65,20.75625,0,0
0,0,0,1,36,1,0,0,0,1,0,1,0,1,0,0,84.9,85.19999999999999,0,1
0,0,1,1,32,1,0,0,1,1,0,0,0,1,0,1,108.15,107.278125,1,1
1,1,1,0,71,0,0,1,1,1,1,0,0,0,0,1,86.85,88.22253521126761,1,0
0,0,1,1,17,1,0,0,0,1,1,1,0,1,0,1,102.55,102.5,0,0
0,0,0,1,18,0,0,0,0,0,1,1,0,1,0,0,78.2,81.59722222222223,1,0
0,0,0,1,37,0,0,0,1,0,1,0,0,1,0,1,91.2,91.41351351351352,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,19.35,23.175,0,0
1,0,0,1,28,1,0,0,0,0,0,0,1,0,0,0,70.4,71.15,0,0
0,1,0,0,9,0,0,0,1,0,1,0,1,0,0,1,39.55,41.44444444444444,0,0
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,50.15,50.15,0,0
0,0,0,0,65,1,0,1,0,0,0,0,0,0,1,0,20.4,21.76076923076923,0,0
0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,44.6,40.9,0,0
0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,34.7,34.7,0,1
0,0,1,1,36,1,0,0,1,1,0,1,0,1,0,0,93.6,93.5013888888889,0,0
0,0,1,1,23,1,0,0,0,0,0,1,0,1,0,0,90.6,84.48695652173913,1,1
1,1,0,0,22,1,0,0,1,0,0,0,0,1,0,1,57.95,57.809090909090905,1,0
0,0,1,1,72,0,0,1,1,1,1,0,0,0,0,1,112.1,110.63819444444444,1,0
1,0,1,1,17,0,0,0,0,0,1,1,0,1,0,0,88.25,85.92058823529412,0,1
0,0,0,1,3,0,0,0,0,1,0,1,0,1,0,0,85.8,90.73333333333333,1,1
0,1,0,0,58,0,0,0,1,0,1,0,1,0,0,1,60.3,61.4448275862069,0,1
1,1,1,0,67,0,0,1,1,1,1,0,0,0,0,1,81.35,80.57611940298509,0,0
0,0,1,1,34,1,1,0,0,1,1,1,1,0,0,1,99.85,98.32794117647059,0,0
0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,20.0,19.869999999999997,0,0
0,1,1,0,69,1,0,1,1,1,1,0,0,0,0,0,85.35,85.4695652173913,1,0
0,1,1,0,40,0,0,0,1,1,1,0,1,0,0,1,62.05,62.78875000000001,0,0
0,1,0,0,20,0,0,0,1,1,1,0,0,1,0,0,64.4,69.92999999999999,0,0
1,0,0,0,46,0,0,1,0,0,0,0,0,0,1,0,19.4,21.04021739130435,0,0
0,0,0,1,2,1,0,0,1,0,0,1,0,1,0,0,74.4,69.7,0,1
0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,70.45,70.45,0,1
0,0,1,1,72,1,0,1,1,1,1,0,0,0,0,0,105.0,105.41388888888889,0,0
1,0,0,0,70,0,0,1,0,0,0,0,0,0,1,0,25.15,25.57357142857143,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,19.3,22.2,0,0
1,1,0,0,23,1,0,0,0,0,0,0,0,1,0,1,55.3,55.834782608695654,1,0
0,0,1,1,36,1,0,0,0,1,0,1,0,1,0,0,95.4,96.50555555555555,0,0
0,0,1,1,59,1,1,0,0,1,0,0,0,1,0,0,93.85,94.48728813559322,0,1
0,0,0,0,67,0,0,1,0,0,0,0,0,0,1,0,20.5,21.357462686567164,0,0
1,0,1,1,72,1,0,1,1,1,1,0,0,0,0,0,105.55,104.75347222222223,0,0
0,0,1,1,37,1,0,0,0,1,1,0,0,1,0,1,101.9,95.82027027027027,0,1
1,0,0,0,72,0,0,1,0,0,0,0,0,0,1,0,24.45,23.737499999999997,0,0
0,0,0,0,72,0,0,1,0,0,0,0,0,0,1,0,19.7,19.748611111111114,0,0
0,0,0,1,3,1,0,0,0,0,0,1,0,1,0,0,74.4,76.51666666666667,0,1
0,0,1,1,54,1,1,0,0,1,0,0,1,0,0,1,101.5,99.50185185185185,0,1
0,0,1,1,60,1,0,0,0,0,1,1,0,1,0,1,95.75,95.71499999999999,0,1
0,0,1,1,58,1,0,0,1,1,1,0,1,0,0,1,110.65,112.52844827586206,0,0
0,0,0,1,31,1,0,0,0,1,0,0,0,1,0,1,83.85,86.26290322580645,0,0
0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,0,60.25,56.833333333333336,0,0
0,1,0,0,55,1,0,1,1,0,1,1,0,0,0,0,59.2,57.74272727272727,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44.4,44.4,0,1
0,0,1,1,49,1,0,0,0,0,0,0,0,1,0,1,85.3,87.71326530612245,0,0
1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,25.5,26.9,0,1
0,0,1,1,39,1,1,0,0,1,1,1,0,1,0,0,99.75,103.48717948717949,0,0
0,1,0,0,66,1,0,1,1,0,1,0,0,0,0,1,66.1,67.09772727272727,0,0
1,0,0,0,15,0,0,0,0,0,0,0,1,0,1,0,20.55,19.73,0,0
0,0,1,1,51,1,0,0,0,1,1,1,1,0,0,0,98.85,97.0107843137255,0,0
0,1,0,0,9,0,1,0,0,0,0,0,0,1,0,0,49.2,49.766666666666666,1,0
